Date	US-TD	US-TR	US-TC	US-D	US-R	US-C
1/21/2020	0	0	1	0	0	1
1/22/2020	0	0	1	0	0	0
1/23/2020	0	0	1	0	0	0
1/24/2020	0	0	2	0	0	1
1/25/2020	0	0	3	0	0	1
1/26/2020	0	0	5	0	0	2
1/27/2020	0	0	5	0	0	0
1/28/2020	0	0	5	0	0	0
1/29/2020	0	0	5	0	0	0
1/30/2020	0	0	6	0	0	1
1/31/2020	0	0	7	0	0	1
2/1/2020	0	0	8	0	0	1
2/2/2020	0	0	11	0	0	3
2/3/2020	0	0	11	0	0	0
2/4/2020	0	0	11	0	0	0
2/5/2020	0	0	12	0	0	1
2/6/2020	0	0	12	0	0	0
2/7/2020	0	0	12	0	0	0
2/8/2020	0	0	12	0	0	0
2/9/2020	0	0	12	0	0	0
2/10/2020	0	0	12	0	0	0
2/11/2020	0	0	12	0	0	0
2/12/2020	0	0	12	0	0	0
2/13/2020	0	0	12	0	0	0
2/14/2020	0	0	12	0	0	0
2/15/2020	0	0	12	0	0	0
2/16/2020	0	0	12	0	0	0
2/17/2020	0	5	12	0	5	0
2/18/2020	0	5	12	0	0	0
2/19/2020	0	5	12	0	0	0
2/20/2020	0	5	14	0	0	2
2/21/2020	0	5	14	0	0	0
2/22/2020	0	5	14	0	0	0
2/23/2020	0	5	14	0	0	0
2/24/2020	0	5	14	0	0	0
2/25/2020	0	5	14	0	0	0
2/26/2020	0	6	15	0	1	1
2/27/2020	0	6	15	0	0	0
2/28/2020	0	6	19	0	0	4
2/29/2020	1	7	24	1	1	5
3/1/2020	2	9	42	1	2	18
3/2/2020	6	9	57	4	0	15
3/3/2020	9	9	85	3	0	28
3/4/2020	11	9	111	2	0	26
3/5/2020	11	9	175	0	0	64
3/6/2020	14	15	252	3	6	77
3/7/2020	19	15	353	5	0	101
3/8/2020	21	15	497	2	0	144
3/9/2020	26	15	645	5	0	148
3/10/2020	31	15	936	5	0	291
3/11/2020	37	15	1205	6	0	269
3/12/2020	41	15	1598	4	0	393
3/13/2020	49	16	2163	8	1	565
3/14/2020	56	49	2825	7	33	662
3/15/2020	62	60	3501	6	11	676
3/16/2020	76	75	4373	14	15	872
3/17/2020	97	107	5664	21	32	1291
3/18/2020	123	107	8074	26	0	2410
3/19/2020	175	109	12022	52	2	3948
3/20/2020	230	147	17439	55	38	5417
3/21/2020	298	171	23710	68	24	6271
3/22/2020	408	178	32341	110	7	8631
3/23/2020	519	296	42751	111	118	10410
3/24/2020	681	379	52690	162	83	9939
3/25/2020	906	394	64916	225	15	12226
3/26/2020	1159	1864	81966	253	1470	17050
3/27/2020	1592	2465	101012	433	601	19046
3/28/2020	2039	3231	121105	447	766	20093
3/29/2020	2431	4559	140223	392	1328	19118
3/30/2020	2985	5506	160686	554	947	20463
3/31/2020	3806	7251	185991	821	1745	25305
4/1/2020	4746	8878	212747	940	1627	26756
4/2/2020	5821	10403	241626	1075	1525	28879
4/3/2020	7006	12283	274151	1185	1880	32525
4/4/2020	8359	14825	307876	1353	2542	33725
4/5/2020	9534	17977	333593	1175	3152	25717
4/6/2020	10746	19573	362952	1212	1596	29359
4/7/2020	12674	21674	393464	1928	2101	30512
4/8/2020	14610	22891	425746	1936	1217	32282
4/9/2020	16466	25928	459989	1856	3037	34243
4/10/2020	18544	27314	493567	2078	1386	33578
4/11/2020	20443	30453	525436	1899	3139	31869
4/12/2020	21936	32634	553493	1493	2181	28057
4/13/2020	23398	36948	578178	1462	4314	24685
4/14/2020	25776	38820	604165	2378	1872	25987
4/15/2020	28214	48708	633630	2438	9888	29465
4/16/2020	30355	57754	665706	2141	9046	32076
4/17/2020	32435	60510	696621	2080	2756	30915
4/18/2020	34178	68285	724705	1743	7775	28084
4/19/2020	35812	71012	750718	1634	2727	26013
4/20/2020	37455	72389	775850	1643	1377	25132
4/21/2020	40079	82923	801028	2624	10534	25178
4/22/2020	42198	84050	830274	2119	1127	29246
4/23/2020	44038	85922	861551	1840	1872	31277
4/24/2020	46091	110432	897481	2053	24510	35930
4/25/2020	47916	118162	932263	1825	7730	34782
4/26/2020	49077	118781	959121	1161	619	26858
4/27/2020	50314	138990	981163	1237	20209	22042
4/28/2020	52518	142238	1005522	2204	3248	24359
4/29/2020	55054	147411	1031391	2536	5173	25869
4/30/2020	57137	155737	1061028	2083	8326	29637
5/1/2020	58931	161563	1093992	1794	5826	32964
5/2/2020	60599	173725	1124523	1668	12162	30531
5/3/2020	61716	178623	1149905	1117	4898	25382
5/4/2020	62593	188068	1171183	877	9445	21278
5/5/2020	65028	200628	1193409	2435	12560	22226
5/6/2020	67729	213084	1218214	2701	12456	24805
5/7/2020	69700	217250	1245728	1971	4166	27514
5/8/2020	71395	223603	1272823	1695	6353	27095
5/9/2020	72950	238078	1300244	1555	14475	27421
5/10/2020	73895	256336	1320941	945	18258	20697
5/11/2020	74735	262225	1338720	840	5889	17779
5/12/2020	76326	296746	1360206	1591	34521	21486
5/13/2020	78041	310259	1380755	1715	13513	20549
5/14/2020	79899	318027	1407517	1858	7768	26762
5/15/2020	81423	326242	1432899	1524	8215	25382
5/16/2020	82654	339232	1457426	1231	12990	24527
5/17/2020	83439	346389	1477157	785	7157	19731
5/18/2020	84231	356383	1498266	792	9994	21109
5/19/2020	85656	361180	1517928	1425	4797	19662
5/20/2020	87184	370076	1540296	1528	8896	22368
5/21/2020	88470	382169	1565324	1286	12093	25028
5/22/2020	89732	403201	1587530	1262	21032	22206
5/23/2020	90821	446914	1610247	1089	43713	22717
5/24/2020	91467	451702	1630500	646	4788	20253
5/25/2020	91971	464670	1649054	504	12968	18554
5/26/2020	92605	479969	1665736	634	15299	16682
5/27/2020	93984	490130	1684372	1379	10161	18636
5/28/2020	95200	498725	1707388	1216	8595	23016
5/29/2020	96375	519569	1730963	1175	20844	23575
5/30/2020	97354	535238	1754779	979	15669	23816
5/31/2020	97959	599867	1776463	605	64629	21684
6/1/2020	98437	615416	1790074	478	15549	13611
6/2/2020	99476	645974	1810113	1039	30558	20039
6/3/2020	100480	688670	1832275	1004	42696	22162
6/4/2020	101389	712252	1853279	909	23582	21004
6/5/2020	102238	738646	1876571	849	26394	23292
6/6/2020	102963	751894	1897436	725	13248	20865
6/7/2020	103411	761708	1915971	448	9814	18535
6/8/2020	103902	773480	1932272	491	11772	16301
6/9/2020	104828	788862	1949450	926	15382	17178
6/10/2020	105675	808494	1969696	847	19632	20246
6/11/2020	106501	816086	1987545	826	7592	17849
6/12/2020	107259	841934	2011966	758	25848	24421
6/13/2020	107913	854106	2037857	654	12172	25891
6/14/2020	107913	854106	2037857	0	0	0